23 апр. 2025 18:09:26,632 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@2506ec12
23 апр. 2025 18:09:41,883 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1530414960 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]
23 апр. 2025 18:09:46,498 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1975803711 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]
23 апр. 2025 22:41:25,184 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4f2b96eb
23 апр. 2025 22:41:25,945 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@901586
23 апр. 2025 22:41:26,393 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]
23 апр. 2025 22:41:26,394 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1530414960 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]]
23 апр. 2025 22:41:26,399 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1975803711 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]]
23 апр. 2025 22:41:27,842 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@71254c23
23 апр. 2025 22:41:29,624 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@2927a235
23 апр. 2025 22:41:30,230 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 3846 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@316de619)
23 апр. 2025 22:41:30,343 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 3956 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@45c10b2)
23 апр. 2025 22:41:31,406 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]
23 апр. 2025 22:41:31,406 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1530414960 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]]
23 апр. 2025 22:41:31,407 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1530414960 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]
23 апр. 2025 22:41:31,413 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1975803711 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]]
23 апр. 2025 22:41:31,413 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1975803711 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',621210642,SQL@835554579]]
23 апр. 2025 22:41:31,927 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@23cae9f9
23 апр. 2025 22:41:32,800 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@227882c3
23 апр. 2025 22:41:38,898 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',578323139,SQL@1663731305]
23 апр. 2025 22:41:43,899 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',578323139,SQL@1663731305]
23 апр. 2025 22:58:34,890 system - system - system  INFO RemoteLogger - CALLBACK UNREFERENCED : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@2506ec12
23 апр. 2025 23:01:28,922 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@198c00c3
23 апр. 2025 23:01:42,520 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:01:45,419 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:01:47,820 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:01:52,380 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:01:54,132 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:01:58,847 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:01,584 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:07,913 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:16,098 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:23,625 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:23,626 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:24,359 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:24,359 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:25,395 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:25,395 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:27,134 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:27,134 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:27,714 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:27,715 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:28,644 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:29,087 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:29,087 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:29,402 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:30,281 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:30,281 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:30,434 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:31,640 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:31,640 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:32,170 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:32,534 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:32,535 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:32,771 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:33,646 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:33,647 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1787675074 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:34,130 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:34,404 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:34,404 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[2046162541 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:35,315 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:35,437 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:35,437 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1500116299 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:36,683 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:37,171 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:37,171 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1597638527 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:37,561 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:37,772 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:37,772 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1368270333 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:39,131 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:39,132 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[510704463 - HockeyStats.players,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:40,316 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:40,316 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[155474199 - HockeyStats.goals,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:41,684 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:41,684 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1996292034 - HockeyStats.scorers,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
23 апр. 2025 23:02:42,562 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]]
23 апр. 2025 23:02:42,562 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1736306646 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',428605635,SQL@692369219]]
24 апр. 2025 11:27:46,749 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@3994433
24 апр. 2025 11:27:58,261 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 4599 ms.): executeNavigatorAction(0, -1, SystemEvents.onClientStartedApply[], 0)
24 апр. 2025 11:28:02,254 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[968817616 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',60376115,SQL@1481866779]]
24 апр. 2025 11:28:36,822 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1551913854 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,268 - Authentication.CustomUser 'Обычный пользователь',60376115,SQL@1481866779]]
24 апр. 2025 12:47:58,691 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@3e403bb9
24 апр. 2025 12:47:59,187 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@49a1b98
24 апр. 2025 12:48:00,014 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@15b9b9d3
24 апр. 2025 12:48:03,153 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4c218bdd
24 апр. 2025 12:48:04,149 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@19d9b814
24 апр. 2025 12:48:05,289 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@60e89082
24 апр. 2025 12:48:07,254 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@5b21d0af
24 апр. 2025 12:48:09,520 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@1c0636d0
24 апр. 2025 12:48:11,039 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 6881 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@33ac211b)
24 апр. 2025 12:48:11,642 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 10815 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@9c59912)
24 апр. 2025 12:48:11,925 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 6820 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@2df9938)
24 апр. 2025 12:48:11,952 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 11021 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@51d10425)
24 апр. 2025 12:48:12,045 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@7db91043
24 апр. 2025 12:48:12,052 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 11199 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@39d2a1a1)
24 апр. 2025 12:48:12,079 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 6050 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@77c001e3)
